,Date,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
0,2002-01-02,0.546500027179718,0.550000011920929,0.5239999890327454,0.5479999780654907,0.5479999780654907,130392000,0.39375001192092896,0.41607099771499634,0.39214301109313965,0.41607099771499634,0.3546663522720337,529496800
1,2002-01-03,0.5565000176429749,0.597000002861023,0.5525000095367432,0.5950000286102295,0.5950000286102295,217514000,0.4107140004634857,0.42410698533058167,0.4066070020198822,0.42107099294662476,0.35892847180366516,612007200
2,2002-01-04,0.6010000109672546,0.6200000047683716,0.5975000262260437,0.612500011920929,0.612500011920929,253746000,0.41678598523139954,0.42767900228500366,0.410535991191864,0.42303600907325745,0.3606034517288208,409976000
3,2002-01-07,0.6039999723434448,0.6255000233650208,0.6039999723434448,0.6169999837875366,0.6169999837875366,243658000,0.42357099056243896,0.4285709857940674,0.40625,0.4089289903640747,0.34857839345932007,444584000
4,2002-01-08,0.6134999990463257,0.6159999966621399,0.5874999761581421,0.5924999713897705,0.5924999713897705,120822000,0.40625,0.4116069972515106,0.4010710120201111,0.4037500023841858,0.3441636860370636,450038400
5,2002-01-09,0.5979999899864197,0.6085000038146973,0.5649999976158142,0.5764999985694885,0.5764999985694885,217592000,0.4071429967880249,0.4094640016555786,0.3799999952316284,0.38660699129104614,0.32955074310302734,327835200
6,2002-01-10,0.5830000042915344,0.5835000276565552,0.5435000061988831,0.5519999861717224,0.5519999861717224,162518000,0.3789289891719818,0.38321399688720703,0.36160698533058167,0.3791069984436035,0.32315754890441895,452737600
7,2002-01-11,0.5515000224113464,0.5669999718666077,0.546500027179718,0.5515000224113464,0.5515000224113464,85536000,0.3819639980792999,0.38999998569488525,0.3678570091724396,0.3758929967880249,0.3204179108142853,348801600
8,2002-01-14,0.5400000214576721,0.5414999723434448,0.5044999718666077,0.5055000185966492,0.5055000185966492,119466000,0.3751789927482605,0.3821429908275604,0.3732140064239502,0.3776789903640747,0.3219403326511383,415996000
9,2002-01-15,0.5170000195503235,0.5210000276565552,0.5080000162124634,0.5145000219345093,0.5145000219345093,101846000,0.3807139992713928,0.38857099413871765,0.3787499964237213,0.38749998807907104,0.33031198382377625,290320800
10,2002-01-16,0.5005000233650208,0.5005000233650208,0.4514999985694885,0.45649999380111694,0.45649999380111694,300798000,0.38232100009918213,0.38232100009918213,0.3660709857940674,0.3710710108280182,0.31630754470825195,566893600
11,2002-01-17,0.4909999966621399,0.4925000071525574,0.4699999988079071,0.4869999885559082,0.4869999885559082,332614000,0.39214301109313965,0.4060710072517395,0.39053601026535034,0.4014289975166321,0.34218519926071167,660576000
12,2002-01-18,0.47999998927116394,0.5274999737739563,0.46950000524520874,0.5080000162124634,0.5080000162124634,229870000,0.39285698533058167,0.4035710096359253,0.39214301109313965,0.39589300751686096,0.3374663293361664,338811200
13,2002-01-22,0.6370000243186951,0.6395000219345093,0.6069999933242798,0.6299999952316284,0.6299999952316284,1132918000,0.39767900109291077,0.3994640111923218,0.38964301347732544,0.38964301347732544,0.33213862776756287,327314400
14,2002-01-23,0.6244999766349792,0.6299999952316284,0.5950000286102295,0.6234999895095825,0.6234999895095825,360632000,0.38928601145744324,0.4114289879798889,0.38553598523139954,0.4110710024833679,0.350404292345047,443279200
15,2002-01-24,0.637499988079071,0.703000009059906,0.6355000138282776,0.7005000114440918,0.7005000114440918,469372000,0.4091069996356964,0.41982099413871765,0.4089289903640747,0.41446399688720703,0.3532964289188385,344002400
16,2002-01-25,0.6779999732971191,0.7695000171661377,0.6694999933242798,0.722000002861023,0.722000002861023,605530000,0.4087499976158142,0.41821399331092834,0.4046429991722107,0.4151790142059326,0.35390597581863403,185914400
17,2002-01-28,0.7429999709129333,0.7885000109672546,0.7379999756813049,0.7749999761581421,0.7749999761581421,460320000,0.41785699129104614,0.42053601145744324,0.4057140052318573,0.41553598642349243,0.35421034693717957,186446400
18,2002-01-29,0.7770000100135803,0.7774999737739563,0.6984999775886536,0.7110000252723694,0.7110000252723694,404898000,0.41464298963546753,0.42035698890686035,0.4080359935760498,0.4119639992713928,0.35116541385650635,240324000
19,2002-01-30,0.6990000009536743,0.7124999761581421,0.6600000262260437,0.6949999928474426,0.6949999928474426,295036000,0.4119639992713928,0.431071013212204,0.4096429944038391,0.43017899990081787,0.3666922450065613,471576000
20,2002-01-31,0.7059999704360962,0.7245000004768372,0.6704999804496765,0.7095000147819519,0.7095000147819519,209706000,0.431428998708725,0.4416069984436035,0.4305360019207001,0.4414289891719818,0.3762819766998291,468445600
21,2002-02-01,0.703499972820282,0.7045000195503235,0.6675000190734863,0.6865000128746033,0.6865000128746033,156028000,0.4346430003643036,0.44571399688720703,0.4346430003643036,0.4358929991722107,0.37156304717063904,398305600
22,2002-02-04,0.6455000042915344,0.6545000076293945,0.6215000152587891,0.6265000104904175,0.6265000104904175,382716000,0.4342859983444214,0.45571398735046387,0.4321430027484894,0.45267900824546814,0.38587167859077454,522373600
23,2002-02-05,0.5989999771118164,0.6144999861717224,0.5580000281333923,0.574999988079071,0.574999988079071,286314000,0.44803598523139954,0.4639289975166321,0.44785699248313904,0.45446398854255676,0.3873932957649231,456887200
24,2002-02-06,0.5950000286102295,0.6000000238418579,0.5600000023841858,0.5630000233650208,0.5630000233650208,177188000,0.45714300870895386,0.4639289975166321,0.4312500059604645,0.4405359923839569,0.3755207359790802,597576000
