date,open,high,low,close,adjclose,volume
1/4/2010,7.622499943,7.660714149,7.585000038,7.643214226,6.515212059,493729600
1/5/2010,7.664286137,7.699643135,7.616071224,7.656428814,6.526477814,601904800
1/6/2010,7.656428814,7.686786175,7.526785851,7.534643173,6.422665596,552160000
1/7/2010,7.5625,7.571428776,7.466071129,7.520713806,6.410790443,477131200
1/8/2010,7.510714054,7.571428776,7.466429234,7.570713997,6.453411579,447610800
1/11/2010,7.599999905,7.607142925,7.444643021,7.503929138,6.396482468,462229600
1/12/2010,7.471070766,7.491786003,7.372142792,7.418570995,6.323721886,594459600
1/13/2010,7.423929214,7.533214092,7.289286137,7.523213863,6.412922859,605892000
1/14/2010,7.503929138,7.516428947,7.465000153,7.479642868,6.37578249,432894000
1/15/2010,7.533214092,7.557143211,7.352499962,7.354642868,6.269228935,594067600
1/19/2010,7.440357208,7.685357094,7.401429176,7.679999828,6.546568871,730007600
1/20/2010,7.675356865,7.698214054,7.482142925,7.561786175,6.445801735,612152800
1/21/2010,7.574285984,7.61821413,7.40035677,7.431070805,6.334375858,608154400
1/22/2010,7.385000229,7.410714149,7.041429043,7.0625,6.020201206,881767600
1/25/2010,7.232500076,7.310713768,7.149642944,7.252500057,6.182161331,1065699600
1/26/2010,7.35535717,7.632500172,7.235000134,7.355000019,6.269533157,1867110000
1/27/2010,7.387499809,7.520713806,7.126070976,7.424285889,6.328594208,1722568400
1/28/2010,7.318929195,7.339285851,7.096428871,7.117499828,6.067084312,1173502400
1/29/2010,7.181428909,7.221428871,6.794642925,6.859285831,5.846977711,1245952400
2/1/2010,6.870357037,7,6.83214283,6.954642773,5.928262711,749876400
2/2/2010,6.996786118,7.011428833,6.906428814,6.994999886,5.96266222,698342400
2/3/2010,6.970356941,7.150000095,6.943571091,7.115356922,6.065256596,615328000
2/4/2010,7.026071072,7.084642887,6.841785908,6.858929157,5.846673489,757652000
2/5/2010,6.879642963,7,6.816071033,6.980713844,5.950485706,850306800
2/8/2010,6.988928795,7.067142963,6.928571224,6.932857037,5.909689426,478270800
2/9/2010,7.014999866,7.053571224,6.955357075,7.00678587,5.972708702,632886800
2/10/2010,6.996070862,7.021429062,6.937857151,6.968571186,5.940134525,370361600
2/11/2010,6.960000038,7.133928776,6.93071413,7.095356941,6.048209667,550345600
2/12/2010,7.07535696,7.20142889,6.982142925,7.156428814,6.100268364,655468800
2/16/2010,7.212142944,7.274642944,7.197143078,7.264286041,6.19220686,543737600
2/17/2010,7.292500019,7.296785831,7.17357111,7.233929157,6.166330814,436396800
2/18/2010,7.201070786,7.281785965,7.175714016,7.247499943,6.177899361,422825200
2/19/2010,7.209286213,7.257143021,7.182499886,7.202499866,6.139539242,415469600
2/22/2010,7.226428986,7.232142925,7.113928795,7.157856941,6.101484299,390563600
2/23/2010,7.142857075,7.190357208,6.989643097,7.037857056,5.999195576,575094800
2/24/2010,7.079642773,7.19428587,7.065713882,7.166429043,6.108791828,460566400
2/25/2010,7.049285889,7.244999886,7.031785965,7.214285851,6.149586678,665126000
2/26/2010,7.227857113,7.327499866,7.214285851,7.307857037,6.229347706,507460800
3/1/2010,7.348214149,7.482142925,7.337500095,7.463929176,6.362386703,550093600
3/2/2010,7.497499943,7.529643059,7.419285774,7.458929062,6.358124733,566546400
3/3/2010,7.462142944,7.495357037,7.426428795,7.476070881,6.372735977,372052800
3/4/2010,7.474286079,7.532856941,7.451070786,7.52535677,6.414750099,366041200
3/5/2010,7.676428795,7.846428871,7.665357113,7.819643021,6.665603638,899620400
3/8/2010,7.857500076,7.860356808,7.794642925,7.824285984,6.669560432,429889600
